matrix,left,right,value,status,note
criteria,response,refresh,3,committed,Resposta/motion > Hz; ambos críticos FPS
criteria,response,clarity,5,committed,Todos QHD — motion >> res
criteria,response,panel,4,committed,
criteria,response,value,4,committed,"Dentro do teto 2500, preço importa mas não vence motion"
criteria,response,size,9,committed,
criteria,refresh,clarity,3,committed,
criteria,refresh,panel,3,committed,
criteria,refresh,value,3,committed,
criteria,refresh,size,8,committed,
criteria,clarity,panel,1,committed,All QHD equal
criteria,clarity,value,2,committed,
criteria,clarity,size,7,committed,
criteria,panel,value,2,committed,
criteria,panel,size,6,committed,
criteria,value,size,4,committed,
alt:response,asus_vg27aqme5f,asus_vg27aqml5f,1/2,committed,from attributes (higher-better): asus_vg27aqme5f=86 vs asus_vg27aqml5f=92 → pref ratio 0.6 → Saaty 1/2; affine stretch
alt:response,asus_vg27aqme5f,asus_xg27acsr,2,committed,from attributes (higher-better): asus_vg27aqme5f=86 vs asus_xg27acsr=82 → pref ratio 1.8 → Saaty 2; affine stretch
alt:response,asus_vg27aqme5f,gigabyte_g27q2,3,committed,from attributes (higher-better): asus_vg27aqme5f=86 vs gigabyte_g27q2=80 → pref ratio 3 → Saaty 3; affine stretch
alt:response,asus_vg27aqml5f,asus_xg27acsr,3,committed,from attributes (higher-better): asus_vg27aqml5f=92 vs asus_xg27acsr=82 → pref ratio 3 → Saaty 3; affine stretch
alt:response,asus_vg27aqml5f,gigabyte_g27q2,5,committed,from attributes (higher-better): asus_vg27aqml5f=92 vs gigabyte_g27q2=80 → pref ratio 5 → Saaty 5; affine stretch
alt:response,asus_xg27acs,asus_xg27acsr,1/5,committed,from attributes (higher-better): asus_xg27acs=78 vs asus_xg27acsr=82 → pref ratio 0.2 → Saaty 1/5; affine stretch
alt:response,asus_xg27acs,gigabyte_g27q2,1/3,committed,from attributes (higher-better): asus_xg27acs=78 vs gigabyte_g27q2=80 → pref ratio 0.333 → Saaty 1/3; affine stretch
